Tanggal,Hour_Created,Hour_Update,cctv_id,type_object,type_validation,"Jumlah Deviasi"
2022-11-24,17,NULL,2,HD,not_yet,1472
2022-11-24,17,NULL,2,LV,not_yet,66
2022-11-24,17,NULL,5,HD,not_yet,936
2022-11-24,17,NULL,5,LV,not_yet,326
2022-11-24,17,NULL,5,Person,not_yet,53
2022-11-25,6,NULL,1,HD,not_yet,26
2022-11-25,6,NULL,1,Person,not_yet,1
2022-11-25,6,NULL,2,HD,not_yet,1712
2022-11-25,6,NULL,2,LV,not_yet,1
2022-11-25,6,NULL,2,Person,not_yet,19
2022-11-25,6,NULL,5,HD,not_yet,958
2022-11-25,6,NULL,5,LV,not_yet,275
2022-11-25,6,NULL,5,Person,not_yet,1
2022-11-25,6,6,1,HD,false,1
2022-11-25,7,NULL,1,HD,not_yet,235
2022-11-25,7,NULL,1,Person,not_yet,22
2022-11-25,7,NULL,2,HD,not_yet,1514
2022-11-25,7,NULL,2,LV,not_yet,6
2022-11-25,7,NULL,2,Person,not_yet,157
2022-11-25,7,NULL,5,HD,not_yet,244
2022-11-25,7,NULL,5,LV,not_yet,30
2022-11-25,7,NULL,5,Person,not_yet,6
2022-11-25,8,NULL,1,HD,not_yet,567
2022-11-25,8,NULL,1,LV,not_yet,64
2022-11-25,8,NULL,1,Person,not_yet,710
2022-11-25,8,NULL,2,HD,not_yet,527
2022-11-25,8,NULL,2,LV,not_yet,239
2022-11-25,8,NULL,2,Person,not_yet,546
2022-11-25,8,NULL,5,HD,not_yet,192
2022-11-25,8,NULL,5,LV,not_yet,24
2022-11-25,8,NULL,5,Person,not_yet,7
2022-11-25,9,NULL,1,HD,not_yet,1099
2022-11-25,9,NULL,1,LV,not_yet,302
2022-11-25,9,NULL,1,Person,not_yet,1263
2022-11-25,9,NULL,2,HD,not_yet,2039
2022-11-25,9,NULL,2,LV,not_yet,89
2022-11-25,9,NULL,2,Person,not_yet,218
2022-11-25,9,NULL,5,HD,not_yet,339
2022-11-25,9,NULL,5,LV,not_yet,31
2022-11-25,9,NULL,5,Person,not_yet,9
2022-11-25,10,NULL,1,HD,not_yet,592
2022-11-25,10,NULL,1,LV,not_yet,1172
2022-11-25,10,NULL,1,Person,not_yet,1519
2022-11-25,10,NULL,2,HD,not_yet,1407
2022-11-25,10,NULL,2,LV,not_yet,45
2022-11-25,10,NULL,2,Person,not_yet,255
2022-11-25,10,NULL,5,HD,not_yet,814
2022-11-25,10,NULL,5,LV,not_yet,27
2022-11-25,10,NULL,5,Person,not_yet,122
2022-11-25,11,NULL,1,HD,not_yet,38
2022-11-25,11,NULL,1,LV,not_yet,1252
2022-11-25,11,NULL,1,Person,not_yet,2081
2022-11-25,11,NULL,2,HD,not_yet,1126
2022-11-25,11,NULL,2,LV,not_yet,12
2022-11-25,11,NULL,2,Person,not_yet,95
2022-11-25,11,NULL,5,HD,not_yet,2003
2022-11-25,11,NULL,5,LV,not_yet,139
2022-11-25,11,NULL,5,Person,not_yet,57
2022-11-25,12,NULL,1,LV,not_yet,347
2022-11-25,12,NULL,1,Person,not_yet,923
2022-11-25,12,NULL,2,HD,not_yet,252
2022-11-25,12,NULL,2,LV,not_yet,1
2022-11-25,12,NULL,2,Person,not_yet,2
2022-11-25,12,NULL,5,HD,not_yet,824
2022-11-25,12,NULL,5,LV,not_yet,6
2022-11-25,12,NULL,5,Person,not_yet,4
2022-11-25,13,NULL,1,HD,not_yet,120
2022-11-25,13,NULL,1,Person,not_yet,633
2022-11-25,13,NULL,2,HD,not_yet,561
2022-11-25,13,NULL,2,Person,not_yet,4
2022-11-25,13,NULL,5,HD,not_yet,1534
2022-11-25,13,NULL,5,LV,not_yet,8
2022-11-25,13,NULL,5,Person,not_yet,30
2022-11-25,14,NULL,1,HD,not_yet,412
2022-11-25,14,NULL,1,Person,not_yet,1115
2022-11-25,14,NULL,2,HD,not_yet,2099
2022-11-25,14,NULL,2,LV,not_yet,7
2022-11-25,14,NULL,2,Person,not_yet,43
2022-11-25,14,NULL,5,HD,not_yet,1525
2022-11-25,14,NULL,5,LV,not_yet,33
2022-11-25,14,NULL,5,Person,not_yet,87
2022-11-25,15,NULL,1,HD,not_yet,1535
2022-11-25,15,NULL,1,LV,not_yet,4
2022-11-25,15,NULL,1,Person,not_yet,53
2022-11-25,15,NULL,2,HD,not_yet,908
2022-11-25,15,NULL,2,LV,not_yet,8
2022-11-25,15,NULL,2,Person,not_yet,14
2022-11-25,15,NULL,5,HD,not_yet,944
2022-11-25,15,NULL,5,LV,not_yet,37
2022-11-25,15,NULL,5,Person,not_yet,127
2022-11-25,16,NULL,1,HD,not_yet,1634
2022-11-25,16,NULL,1,LV,not_yet,1
2022-11-25,16,NULL,1,Person,not_yet,15
2022-11-25,16,NULL,2,HD,not_yet,2496
2022-11-25,16,NULL,2,LV,not_yet,39
